,filename,class,xmin,ymin,xmax,ymax
0,WhatsApp-Image-2024-06-14-at-20-25-53_jpeg.rf.16ff44e3a14d0b845d3ce73cb5f70185.jpg,window,309,112,1668,958
1,WhatsApp-Image-2024-06-14-at-20-25-53_jpeg.rf.16ff44e3a14d0b845d3ce73cb5f70185.jpg,window,303,115,1671,985
2,WhatsApp-Image-2024-06-14-at-21-03-54_jpeg.rf.1c9648acdae09911df9a18e570522969.jpg,window,57,49,1833,907
3,17_png.rf.1f31466d7c560e4f14e765b157176da7.jpg,window,545,121,1675,829
4,12_png.rf.09ed9ec551dcf6fefc3a62c5464e61dd.jpg,window,21,288,1151,1009
5,7_png.rf.04f25399e664a5979ccf28b48ae510fe.jpg,window,9,3,1136,891
6,Screenshot-2024-06-14-at-9-46-39-PM-10-01-54-PM_png.rf.0d50db3a63d98b52ef8a733f50ed0b57.jpg,window,139,201,1048,966
7,7_png.rf.1eb2e6df9c2afed11a6dab6c580c6f39.jpg,window,9,3,1136,891
8,Screenshot-2024-06-14-at-6-31-59-PM_png.rf.1690042fefb7837abef4ff625578d94e.jpg,window,163,315,1016,1017
9,WhatsApp-Image-2024-06-14-at-21-11-26_jpeg.rf.0f0acfad9e7a44b6d159087e19b9380f.jpg,window,77,98,1893,1009
10,Screenshot-2024-06-14-at-9-46-46-PM_png.rf.08cd1a0251374f0810946e91c165e6ba.jpg,window,621,98,1535,849
11,Screenshot-2024-06-14-at-6-32-59-PM_png.rf.0590e7e1a34e01b9c14a34e19dfbfa3b.jpg,window,180,106,1059,914
12,6_png.rf.15576d2a40432f41f6ceeab8b13fa0c1.jpg,window,762,31,1900,919
13,Screenshot-2024-06-15-at-12-02-32-PM_png.rf.0cff801f6d3a3d4caf0cebef89e598c5.jpg,window,148,78,1217,1006
14,Screenshot-2024-06-15-at-5-42-51-PM_png.rf.203e49420526ad8f34a6912b3dfe32f7.jpg,window,529,112,1338,848
15,Screenshot-2024-06-14-at-9-47-19-PM_png.rf.1a5c21d93cdc118493b5c980541246a7.jpg,window,234,186,1158,846
