,filename,IOU
0,WhatsApp-Image-2024-06-14-at-20-25-53_jpeg.rf.16ff44e3a14d0b845d3ce73cb5f70185.jpg,0.932
1,WhatsApp-Image-2024-06-14-at-20-25-53_jpeg.rf.16ff44e3a14d0b845d3ce73cb5f70185.jpg,0.956
2,WhatsApp-Image-2024-06-14-at-21-03-54_jpeg.rf.1c9648acdae09911df9a18e570522969.jpg,0.836
3,17_png.rf.1f31466d7c560e4f14e765b157176da7.jpg,0.996
4,12_png.rf.09ed9ec551dcf6fefc3a62c5464e61dd.jpg,0.971
5,7_png.rf.04f25399e664a5979ccf28b48ae510fe.jpg,0.96
6,Screenshot-2024-06-14-at-9-46-39-PM-10-01-54-PM_png.rf.0d50db3a63d98b52ef8a733f50ed0b57.jpg,0.976
7,7_png.rf.1eb2e6df9c2afed11a6dab6c580c6f39.jpg,0.954
8,Screenshot-2024-06-14-at-6-31-59-PM_png.rf.1690042fefb7837abef4ff625578d94e.jpg,0.64
9,WhatsApp-Image-2024-06-14-at-21-11-26_jpeg.rf.0f0acfad9e7a44b6d159087e19b9380f.jpg,0.803
10,Screenshot-2024-06-14-at-9-46-46-PM_png.rf.08cd1a0251374f0810946e91c165e6ba.jpg,0.97
11,Screenshot-2024-06-14-at-6-32-59-PM_png.rf.0590e7e1a34e01b9c14a34e19dfbfa3b.jpg,0.726
12,6_png.rf.15576d2a40432f41f6ceeab8b13fa0c1.jpg,0.969
13,Screenshot-2024-06-15-at-12-02-32-PM_png.rf.0cff801f6d3a3d4caf0cebef89e598c5.jpg,0.552
14,Screenshot-2024-06-15-at-5-42-51-PM_png.rf.203e49420526ad8f34a6912b3dfe32f7.jpg,0.96
15,Screenshot-2024-06-14-at-9-47-19-PM_png.rf.1a5c21d93cdc118493b5c980541246a7.jpg,0.978
16,Screenshot-2024-06-14-at-9-47-18-PM-10-01-54-PM_png.rf.049c6225d4351f02e366c3fc7b077c88.jpg,0.97
17,Screenshot-2024-06-14-at-6-32-54-PM_png.rf.081db5dc20c16b005593f3e234caa10f.jpg,0.978
18,11_png.rf.231e6b923344cc150549fc8ab10a4510.jpg,0.989
19,Screenshot-2024-06-15-at-5-42-51-PM_png.rf.227d57acec94269c00a22b77051bf1e3.jpg,0.961
20,1_png.rf.26f1b985923ab4616fefbcfe7b00fd60.jpg,0.983
21,WhatsApp-Image-2024-06-14-at-21-16-28_jpeg.rf.2b60004a094e33fbcf1c186c5fcdced8.jpg,0.822
22,4_png.rf.319993070cc401bdc1a53f795b45bd40.jpg,0.984
23,Screenshot-2024-06-14-at-6-32-59-PM_png.rf.442e3628663a75bde42b66126dbdeda5.jpg,0.722
24,14_png.rf.220368d2f6cb1b1bc466f2c1a71091a0.jpg,0.935
25,WhatsApp-Image-2024-06-14-at-20-35-07_jpeg.rf.3fddcccf7fede8442db1b332712f4173.jpg,0.974
26,WhatsApp-Image-2024-06-14-at-21-05-56_jpeg.rf.3d079e0eacb881a1302c69d5c5d3051c.jpg,0.809
27,WhatsApp-Image-2024-06-14-at-21-03-54_jpeg.rf.299f12d3f5a0bd4d72cf453ee5f779da.jpg,0.839
28,Screenshot-2024-06-14-at-6-32-44-PM_png.rf.4708e5786f8df18e8fc4f27db9dd2743.jpg,0.542
29,3_png.rf.307758fa72f2c1823d2a7fe2fa8bd7d0.jpg,0.97
30,Screenshot-2024-06-15-at-5-41-35-PM_png.rf.3af1a6fc105788a408539d5fa9973082.jpg,0.947
31,Screenshot-2024-06-14-at-9-47-18-PM-10-01-54-PM_png.rf.3ed4782146de6e3e2f92c99b829479c5.jpg,0.97
32,WhatsApp-Image-2024-06-14-at-21-11-26_jpeg.rf.3d38282e71201d63b299b32be5c1e9b9.jpg,0.854
33,Screenshot-2024-06-14-at-9-47-03-PM_png.rf.453ecb6aaeac4c234c5dfb78e22edc9c.jpg,0.972
34,20_png.rf.3663e6c2b7c28562ef576d3ef8df0767.jpg,0.857
35,11_png.rf.32168601569723d4d230da64f30a9c12.jpg,0.987
36,Screenshot-2024-06-14-at-9-47-50-PM-10-01-54-PM_png.rf.3b5df73823ea15d9d0544834141e4ed6.jpg,0.99
37,Screenshot-2024-06-15-at-5-41-26-PM_png.rf.4bf29a2ce132cd1d92a476e18a52c62f.jpg,0.987
38,WhatsApp-Image-2024-06-14-at-21-02-58_jpeg.rf.4bb35829ccceb3b6d9c5d577dd8b8194.jpg,0.986
39,Screenshot-2024-06-15-at-5-41-35-PM_png.rf.31cfd1d2494f4972c3dc1748c7ecc11a.jpg,0.95
40,18_png.rf.42fbbda573327e90629e4f705c0113ec.jpg,0.969
41,WhatsApp-Image-2024-06-14-at-20-09-54_jpeg.rf.396f47cf1629fe9c058a003c94a3a6b6.jpg,0.962
42,Screenshot-2024-06-15-at-5-43-07-PM_png.rf.2ff2e60bdb19f4b3a03577fbef613240.jpg,0.957
43,Screenshot-2024-06-14-at-9-46-39-PM-10-01-54-PM_png.rf.471611a335377f9e28003edd024ba7e0.jpg,0.954
44,16_png.rf.3c80871c33bcefbf514b4173ddbd8309.jpg,0.871
45,Screenshot-2024-06-14-at-9-47-00-PM-10-01-54-PM_png.rf.5343b2dd8d624912a0d1b64e8514c59a.jpg,0.98
46,Screenshot-2024-06-15-at-5-41-59-PM_png.rf.65030f1aded1996010778926dfbbde36.jpg,0.988
47,Screenshot-2024-06-14-at-6-31-59-PM_png.rf.5ade9be0c8ef273d1be85c4f251dbc47.jpg,0.642
48,13_png.rf.4c58fb390f766eaf382b80fcf7161377.jpg,0.976
49,WhatsApp-Image-2024-06-14-at-20-37-28_jpeg.rf.62e40151eb712c08f31c49eab56942a5.jpg,0.987
50,Screenshot-2024-06-15-at-5-41-59-PM_png.rf.612b6bebb66000dcaa356dcd21b8944f.jpg,0.98
51,13_png.rf.4ccbe5bbdd734b8373b43164cb442fe3.jpg,0.969
52,Screenshot-2024-06-14-at-9-47-08-PM-10-01-54-PM_png.rf.4cb801d75577b95f7255d5fc28e118d6.jpg,0.959
53,18_png.rf.5357e58021ea960231b6972d714288a6.jpg,0.968
54,Screenshot-2024-06-14-at-9-46-42-PM_png.rf.63605ed467b63500acf909a1ce94fe94.jpg,0.951
55,15_png.rf.5d1e53e4aa997487e10afe042af1200a.jpg,0.778
